familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,note
SSC標準 RC梁,G1,5944692,デザイン オプション,ElementId,,TRUE,-1,-1,
SSC標準 RC梁,G1,5944692,ファミリ名,String,autodesk.spec:spec.string-2.0.0,TRUE,SSC標準 RC梁,SSC標準 RC梁,
SSC標準 RC梁,G1,5944692,フィレットのウェブ先端,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フィレットのフランジ先端,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジSP長さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジボルトg1,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジボルトg2,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジボルトmF,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジボルトｎF,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジ内SP幅,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジ内SP板厚,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジ厚さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,フランジ外SP板厚,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ブレース断面形状,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ボルト径（文字）,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ボルト直径,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ボルト間隔,,,FALSE,,,
SSC標準 RC梁,G1,5944692,マーク(タイプ),String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,モデル,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,上フランジ厚さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,上フランジ幅,,,FALSE,,,
SSC標準 RC梁,G1,5944692,下フランジ厚さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,下フランジ幅,,,FALSE,,,
SSC標準 RC梁,G1,5944692,中央あばら筋ピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,中央のあばら筋のピッチ
SSC標準 RC梁,G1,5944692,中央あばら筋径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,13,13,中央のあばら筋の径
SSC標準 RC梁,G1,5944692,中央あばら筋本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,4,4,中央のあばら筋の組み合わせ本数
SSC標準 RC梁,G1,5944692,中央あばら筋種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD295,SD295,
SSC標準 RC梁,G1,5944692,中央あばら筋記号,String,autodesk.spec:spec.string-2.0.0,FALSE,D,D,
SSC標準 RC梁,G1,5944692,中央上端1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,8,8,
SSC標準 RC梁,G1,5944692,中央上端1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の上端1段目（上側）の主筋本数
SSC標準 RC梁,G1,5944692,中央上端2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央上端2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の上端2段目の主筋本数
SSC標準 RC梁,G1,5944692,中央上端3段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央上端3段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の上端3段目の主筋本数
SSC標準 RC梁,G1,5944692,中央下端1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央下端1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の下端1段目（下側）の主筋本数
SSC標準 RC梁,G1,5944692,中央下端2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央下端2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の下端2段目の主筋本数
SSC標準 RC梁,G1,5944692,中央下端3段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央下端3段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,中央の下端3段目の主筋本数
SSC標準 RC梁,G1,5944692,中央主筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,29,29,
SSC標準 RC梁,G1,5944692,中央主筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD390,SD390,中央の主筋径
SSC標準 RC梁,G1,5944692,中央主筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,中央主筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,中央断面形状,,,FALSE,,,
SSC標準 RC梁,G1,5944692,中央鉄骨材種,,,FALSE,,,
SSC標準 RC梁,G1,5944692,主軸の角度,,,FALSE,,,
SSC標準 RC梁,G1,5944692,価格,Double,autodesk.spec.measurable:currency-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,備考（断面リスト）,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
